device,time,x,y,z
device,4070.7452999583343,-0.06877744,1.5486239,-0.11117172
device,4070.7462673333343,-0.06877369,1.5486264,-0.11117399
device,4070.7578128333344,-0.0687393,1.5486481,-0.111195095
device,4070.7689031666678,-0.06870842,1.5486612,-0.111216486
referenceObject,4070.7693374166674,0.14788193,1.5179569,-0.71080583
device,4070.779882750001,-0.068676226,1.5486695,-0.11123964
device,4070.7885575416676,-0.068648875,1.5486724,-0.11125851
referenceObject,4070.7908969166674,0.14787626,1.5179534,-0.71078295
device,4070.798103250001,-0.06861955,1.5486718,-0.111278355
device,4070.8076805833343,-0.06859124,1.5486692,-0.11129832
device,4070.817342375001,-0.06856447,1.5486616,-0.111317724
referenceObject,4070.8190892916678,0.14787012,1.5179499,-0.7107585
device,4070.8278655416675,-0.06853354,1.5486524,-0.11133891
device,4070.838173875001,-0.06850213,1.5486426,-0.11135566
device,4070.848061625001,-0.068468995,1.5486368,-0.11137057
device,4070.8581134166675,-0.06843186,1.5486293,-0.11138529
referenceObject,4070.8586554583344,0.14786422,1.5179465,-0.71073467
device,4070.8689070833343,-0.06840998,1.5486253,-0.11140853
device,4070.8777761250008,-0.068389416,1.5486217,-0.11142647
device,4070.887725250001,-0.068362534,1.5486195,-0.11144596
referenceObject,4070.892223375001,0.14781952,1.5179274,-0.7107329
device,4070.8984042916677,-0.06832993,1.5486172,-0.11146349
device,4070.9081454583343,-0.068296604,1.5486143,-0.11147645
referenceObject,4070.909694083334,0.14781392,1.5179241,-0.7107102
device,4070.917727125001,-0.06826222,1.5486115,-0.11148721
device,4070.9280670416674,-0.06822152,1.5486101,-0.11150027
device,4070.9383694583344,-0.068181336,1.5486101,-0.11151755
referenceObject,4070.9435554166676,0.14780885,1.5179205,-0.7107114
device,4070.948261375001,-0.068146825,1.5486095,-0.11154318
device,4070.9586212500008,-0.06810951,1.5486089,-0.11157161
device,4070.9684232916675,-0.06807214,1.5486056,-0.111600935
device,4070.9783377916674,-0.068032205,1.5486006,-0.111632586
referenceObject,4070.985481125001,0.14780277,1.5179169,-0.7107093
device,4070.988278375001,-0.06799054,1.5485916,-0.111665905
device,4070.998891083334,-0.067943335,1.5485768,-0.111700594
referenceObject,4070.9996646666677,0.14774436,1.5179361,-0.71074647
device,4071.0083346250008,-0.067896664,1.5485588,-0.1117301
device,4071.018187583334,-0.06784427,1.548534,-0.11175817
device,4071.028377750001,-0.06778574,1.548507,-0.11178625
device,4071.038350500001,-0.06772744,1.5484796,-0.1118187
referenceObject,4071.038880583334,0.1477384,1.5179327,-0.7107449
device,4071.048372375001,-0.067664206,1.5484569,-0.11184943
device,4071.0586882916677,-0.06759441,1.5484368,-0.11187959
referenceObject,4071.059381875001,0.14773339,1.5179293,-0.7107455
device,4071.0682662916674,-0.06752604,1.5484228,-0.1119076
device,4071.078352000001,-0.06744999,1.548411,-0.11193544
device,4071.0887250833343,-0.067363136,1.5484024,-0.11196392
device,4071.0984898750007,-0.06727642,1.5483983,-0.11198801
referenceObject,4071.098951000001,0.1477282,1.517926,-0.7107449
device,4071.1078613333343,-0.06718677,1.5483947,-0.11200976
device,4071.118148125001,-0.067077994,1.5483909,-0.11203492
referenceObject,4071.123459958334,0.14769685,1.5179642,-0.7107431
device,4071.1279975416674,-0.06696761,1.5483893,-0.11205876
device,4071.137996833334,-0.066870034,1.5483873,-0.11209118
device,4071.148038875001,-0.06676119,1.5483826,-0.11212811
referenceObject,4071.148748708334,0.14769232,1.5179613,-0.710738
device,4071.1581790416676,-0.066639185,1.548376,-0.112169325
device,4071.168248958334,-0.06650556,1.5483739,-0.11221666
device,4071.178293375001,-0.066363096,1.5483756,-0.112272084
referenceObject,4071.179600750001,0.14768767,1.5179582,-0.7107325
device,4071.187674333334,-0.06621408,1.5483803,-0.112333864
device,4071.197639666668,-0.06604678,1.5483874,-0.11240221
device,4071.2079694583344,-0.06584984,1.5483915,-0.11248207
referenceObject,4071.2089026666677,0.14768296,1.5179552,-0.7107269
device,4071.2179556666674,-0.065647125,1.5483884,-0.112568974
device,4071.227359000001,-0.06544017,1.5483792,-0.11265301
device,4071.236453666668,-0.06522734,1.5483664,-0.11273492
referenceObject,4071.2395459166673,0.14765656,1.5179771,-0.7107219
device,4071.246432208334,-0.06497949,1.5483465,-0.11282623
device,4071.2564420416675,-0.06471526,1.5483173,-0.11291948
device,4071.2666622083343,-0.06443066,1.5482817,-0.113017984
referenceObject,4071.269945833334,0.14765191,1.5179741,-0.7107155
device,4071.276750958334,-0.06413423,1.5482457,-0.11312184
