device,time,x,y,z
device,1808.4825768750004,-0.011295497,1.4921099,-0.22923306
referenceObject,1808.483527166667,-0.46419394,1.4438418,-0.8284979
device,1808.4873160000004,-0.011348218,1.4921534,-0.22919072
device,1808.4980087500005,-0.011467695,1.4922508,-0.22909394
device,1808.5076703333336,-0.01157701,1.4923363,-0.22900388
referenceObject,1808.509492791667,-0.4641348,1.4438405,-0.82840836
device,1808.5179154583336,-0.011694759,1.4924202,-0.22890548
device,1808.5288738333338,-0.011823177,1.492506,-0.22879979
device,1808.5388345833337,-0.011942953,1.4925822,-0.22870387
referenceObject,1808.5400238333336,-0.46747994,1.4448574,-0.83253753
device,1808.5481808750003,-0.012057662,1.4926537,-0.22861996
device,1808.5579867083338,-0.012180626,1.4927267,-0.22853163
device,1808.568638666667,-0.01231727,1.4928024,-0.22843607
device,1808.578613541667,-0.012445658,1.4928671,-0.22834529
referenceObject,1808.5792356250004,-0.46823514,1.4444956,-0.83373356
device,1808.5886527083337,-0.012579858,1.492926,-0.22825214
device,1808.5990830000003,-0.012718439,1.4929788,-0.22815749
referenceObject,1808.5995364583337,-0.46823275,1.4444985,-0.8337319
device,1808.608423666667,-0.012843728,1.49302,-0.22807214
device,1808.6188810833337,-0.01297307,1.4930558,-0.2279855
device,1808.628873916667,-0.0131139755,1.4930867,-0.22789109
referenceObject,1808.6296582083337,-0.46822608,1.4445041,-0.8337238
device,1808.638398791667,-0.013242006,1.4931098,-0.2278089
device,1808.648759541667,-0.013378799,1.4931252,-0.22771776
device,1808.6585400000004,-0.013508797,1.4931362,-0.22763267
referenceObject,1808.659457041667,-0.46821868,1.4445095,-0.833714
device,1808.6684457500005,-0.013639063,1.4931439,-0.22754826
device,1808.6786388333337,-0.013767719,1.4931527,-0.22746855
device,1808.6793715833337,-0.013781071,1.4931537,-0.22746044
device,1808.6881135833337,-0.013890982,1.493161,-0.22739533
referenceObject,1808.6891335833338,-0.4717697,1.4437126,-0.8395772
device,1808.6984312500003,-0.014022052,1.493173,-0.22732309
device,1808.7079835833338,-0.014143944,1.4931858,-0.22725865
device,1808.7183189583338,-0.014276445,1.4932016,-0.22719574
referenceObject,1808.7190795000004,-0.4717883,1.443712,-0.83960974
device,1808.7283542500004,-0.014407635,1.4932176,-0.2271381
device,1808.7380983750004,-0.014543116,1.4932387,-0.22709271
device,1808.7487483333337,-0.014690161,1.4932586,-0.2270416
referenceObject,1808.755576791667,-0.47178328,1.4437143,-0.83961606
device,1808.7582625416671,-0.014818549,1.4932694,-0.22699296
device,1808.7686492083337,-0.014955372,1.4932735,-0.22693576
device,1808.778541041667,-0.01508221,1.493271,-0.22687931
referenceObject,1808.7796668333337,-0.4717784,1.4437166,-0.8396219
device,1808.7886559583337,-0.015209287,1.4932619,-0.22681688
device,1808.798699541667,-0.015330046,1.4932498,-0.22675242
device,1808.8084127500003,-0.01545161,1.4932401,-0.22668529
referenceObject,1808.8093861250004,-0.47229564,1.4438698,-0.84033906
device,1808.8185543750003,-0.015568554,1.4932393,-0.22661436
device,1808.8290686250004,-0.01569122,1.4932494,-0.22653878
device,1808.8388038333337,-0.01580441,1.4932668,-0.22646824
referenceObject,1808.8400305000005,-0.4722941,1.443873,-0.8403487
device,1808.8485473333337,-0.01591444,1.493289,-0.2263942
device,1808.8586918333338,-0.01602599,1.4933162,-0.22631486
device,1808.8689162083338,-0.016129494,1.4933444,-0.22623399
referenceObject,1808.8699051250003,-0.47228992,1.4438751,-0.84035444
device,1808.8784887083336,-0.016226053,1.4933715,-0.22615173
device,1808.8880786250004,-0.016314626,1.493398,-0.22607172
device,1808.8978489583337,-0.016400695,1.493423,-0.22598869
referenceObject,1808.8992372500004,-0.4722848,1.443877,-0.8403584
device,1808.9077658750005,-0.016488612,1.493444,-0.22590199
device,1808.9178587500005,-0.01657331,1.4934626,-0.22581178
device,1808.928159291667,-0.016654849,1.4934775,-0.22571662
device,1808.9376157083336,-0.016724586,1.4934853,-0.2256288
referenceObject,1808.9381030833338,-0.47165275,1.4439749,-0.8393822
