device,time,x,y,z
device,2332.515305583334,-0.60953236,1.4991446,-0.268669
device,2332.5167452500004,-0.6095395,1.4991357,-0.2686758
device,2332.5275986250003,-0.60959136,1.4990662,-0.26873386
referenceObject,2332.5288293750004,-0.16034573,1.4407067,-0.8637564
device,2332.5382056250005,-0.6096461,1.4989941,-0.26878607
device,2332.5487258333337,-0.60969305,1.4989191,-0.26884437
device,2332.5585923750004,-0.60972947,1.4988518,-0.26890773
referenceObject,2332.559485291667,-0.1603418,1.4407055,-0.8637605
device,2332.5694915000004,-0.6097605,1.4987859,-0.2689879
device,2332.5789855000007,-0.60977805,1.4987398,-0.2690708
device,2332.5891706250004,-0.6097915,1.4987013,-0.2691741
device,2332.5988266250006,-0.6098044,1.4986763,-0.2692859
referenceObject,2332.5995886250007,-0.16031575,1.4407376,-0.8637121
device,2332.6085368750005,-0.609815,1.4986614,-0.26941192
device,2332.618502291667,-0.60982287,1.4986577,-0.2695526
referenceObject,2332.6189981250004,-0.16032463,1.4407346,-0.86369705
device,2332.6287981250007,-0.6098276,1.4986613,-0.26971063
device,2332.638096916667,-0.6098308,1.4986637,-0.2698589
device,2332.6477687500005,-0.60983235,1.4986658,-0.2700234
referenceObject,2332.6491489166674,-0.16033292,1.4407316,-0.863683
device,2332.6576753750005,-0.60983217,1.4986658,-0.27019897
device,2332.668266083334,-0.6098307,1.4986632,-0.2703929
device,2332.6789388750003,-0.6098285,1.4986565,-0.27059162
referenceObject,2332.6796490000006,-0.16034114,1.4407287,-0.86366916
device,2332.6882639583337,-0.6098268,1.4986489,-0.27076936
device,2332.698210708334,-0.609823,1.4986411,-0.270961
device,2332.708837208334,-0.60981673,1.4986335,-0.2711751
device,2332.7095789583336,-0.6098163,1.4986331,-0.2711904
referenceObject,2332.7099492916673,-0.16033894,1.4407921,-0.86356664
device,2332.7182002083337,-0.60981256,1.4986272,-0.27136052
device,2332.7282801250003,-0.60980904,1.498623,-0.2715609
device,2332.7385576250003,-0.6098093,1.498623,-0.2717687
referenceObject,2332.739496541667,-0.16034758,1.4407893,-0.8635514
device,2332.7486565833337,-0.6098127,1.4986328,-0.271975
device,2332.758394833334,-0.6098158,1.4986606,-0.27218103
device,2332.7683146250006,-0.60981774,1.4987141,-0.27239954
device,2332.778331041667,-0.60981554,1.4987959,-0.27263296
referenceObject,2332.7789331666672,-0.16035569,1.4407895,-0.86353946
device,2332.788670458334,-0.60980386,1.4989113,-0.2728959
device,2332.798848458334,-0.60977757,1.4990414,-0.27316493
referenceObject,2332.7994129166673,-0.16036403,1.4407895,-0.8635266
device,2332.8084953333337,-0.60973704,1.4991813,-0.27343428
device,2332.818320708334,-0.6096877,1.4993271,-0.2737124
device,2332.8285346250004,-0.60961586,1.4994867,-0.27402684
referenceObject,2332.8290309166673,-0.1603297,1.4408224,-0.86333346
device,2332.838715291667,-0.6095232,1.499641,-0.27435505
device,2332.8481635000007,-0.60941744,1.4997762,-0.2746768
device,2332.8589670416673,-0.60927355,1.4999199,-0.27506855
referenceObject,2332.8596014166674,-0.16033769,1.4408226,-0.8633201
device,2332.8689147500004,-0.6091183,1.5000378,-0.2754486
device,2332.878436458334,-0.6089511,1.5001405,-0.27583003
device,2332.888301458334,-0.6087568,1.5002381,-0.2762512
referenceObject,2332.889113666667,-0.16034561,1.4408228,-0.8633082
