device,time,x,y,z
device,2767.3404302500007,0.08954503,1.6838956,-0.09820601
device,2767.3412560000006,0.08954799,1.6838949,-0.098205924
referenceObject,2767.3440082500006,0.24579662,1.5603647,-0.70464176
device,2767.351386708334,0.0895852,1.6838807,-0.0982022
device,2767.3647401250005,0.0896467,1.6838608,-0.09819102
referenceObject,2767.3650714166674,0.24579081,1.5603633,-0.70463604
device,2767.372906041667,0.08969456,1.6838491,-0.098181546
device,2767.382937458334,0.089763284,1.6838372,-0.09816545
device,2767.391700708334,0.08983505,1.6838304,-0.09814906
referenceObject,2767.3952767083338,0.24578482,1.5603621,-0.7046284
device,2767.401067375001,0.08992475,1.6838275,-0.09812915
device,2767.411250208334,0.09003772,1.6838315,-0.098106235
referenceObject,2767.4124138750008,0.24579316,1.5604136,-0.7046172
device,2767.4212687916674,0.09016517,1.6838399,-0.098083146
device,2767.431551458334,0.09031089,1.6838537,-0.09806064
device,2767.4418554166673,0.09046835,1.6838716,-0.09803647
referenceObject,2767.448476166667,0.24579784,1.5604129,-0.7046246
device,2767.4520121666674,0.090638414,1.6838913,-0.09801224
device,2767.463246541667,0.09083718,1.683913,-0.097985685
device,2767.471518666667,0.09099072,1.6839302,-0.09796846
device,2767.481998208334,0.09119174,1.6839547,-0.097949855
referenceObject,2767.4849590416675,0.2458019,1.5604124,-0.70463103
device,2767.492069291667,0.09140277,1.6839777,-0.09793395
device,2767.501786541667,0.0916073,1.6839972,-0.097919114
referenceObject,2767.5026717083338,0.24580619,1.5604118,-0.7046378
device,2767.5118220000004,0.091828,1.6840142,-0.09790674
device,2767.521604041667,0.092050254,1.6840308,-0.09789544
device,2767.5320661250007,0.09229171,1.6840495,-0.09788567
device,2767.542116583334,0.0925287,1.6840707,-0.09787953
referenceObject,2767.5427105416675,0.24573788,1.5604354,-0.7047532
device,2767.551995083334,0.09276861,1.6840914,-0.09787756
device,2767.5621922500004,0.093022525,1.6841122,-0.09787494
referenceObject,2767.562638166667,0.24574205,1.5604348,-0.7047592
device,2767.5722471250006,0.0932845,1.6841358,-0.09787366
device,2767.581768166667,0.09354094,1.6841626,-0.09787392
device,2767.5918293750005,0.09383196,1.6842012,-0.09787536
device,2767.602030333334,0.09413661,1.6842494,-0.09787747
referenceObject,2767.6045702500005,0.2457465,1.5604341,-0.70476717
device,2767.611454458334,0.09443295,1.6843021,-0.097882986
device,2767.6215592916674,0.09475899,1.6843657,-0.097895205
device,2767.6315658750004,0.09511125,1.684442,-0.09791577
referenceObject,2767.6321556250005,0.24574488,1.5604365,-0.70477515
device,2767.6415216250007,0.0954712,1.6845293,-0.09794533
device,2767.6519854166672,0.09587033,1.6846292,-0.09798661
referenceObject,2767.652738083334,0.24569151,1.5604873,-0.704891
device,2767.662016958334,0.09626663,1.6847303,-0.09803325
device,2767.671682458334,0.09668639,1.6848353,-0.09808498
device,2767.6820997916675,0.09716445,1.6849473,-0.09814417
referenceObject,2767.682674791667,0.2456893,1.5604898,-0.70489746
device,2767.6918554166673,0.09761879,1.6850536,-0.09818279
device,2767.7017221250007,0.09810603,1.6851585,-0.09822488
device,2767.7120231250005,0.09865332,1.6852679,-0.09827018
referenceObject,2767.7126511666675,0.24568814,1.5604919,-0.70490724
device,2767.7219857500004,0.099208504,1.6853739,-0.09831297
device,2767.731599666667,0.09977557,1.6854786,-0.09835467
device,2767.742038666667,0.10042626,1.6855965,-0.098400295
referenceObject,2767.7432289166672,0.2456865,1.5604943,-0.7049158
device,2767.7518016666672,0.10107422,1.68571,-0.098440886
device,2767.7619757916673,0.10177845,1.6858294,-0.09847832
device,2767.772055166667,0.10252197,1.6859466,-0.098510355
referenceObject,2767.7726172500006,0.24569106,1.5605586,-0.70500475
