file,radius,angle,centre_diff,centre_diff_x,centre_diff_y,centre_diff_z,x_normal_device,y_normal_device,z_normal_device,x_normal_object,y_normal_object,z_normal_object
Gross-k11All.csv,0.005945424781655025,15.219439214510697,0.12975254992925284,0.019670915144322954,0.12815439677827345,-0.005022937081524237,0.0008949925773864641,-0.9999984482622295,-0.0015173863777354398,-0.19820358004591798,-0.9648444720705964,-0.1725992050149537
Gross-k15All.csv,0.007769444798530869,10.512858906266741,0.13040899555715363,0.0351153435001158,0.12558410564319566,-0.0014321951310005687,0.004357345607929806,-0.9999809930259507,-0.004362009409237765,-0.14575553747746747,-0.9833962169000846,-0.10810737200235791
Gross-c6All.csv,0.007524274222996312,173.86021779394264,0.11643500666047434,0.0024761663127707625,0.11582126679577187,-0.011679620466386487,0.008378011137545069,0.9999628080068215,0.0020473232504798953,-0.07814679921870553,-0.9938078812823532,0.07898716903998707
Gross-c11All.csv,0.008279439321753313,169.5014199855914,0.11819906028629845,-0.013706955729389216,0.1168294944784436,-0.011576114940164417,0.005383372650283648,0.9999836097748493,0.001949225633356645,-0.024560484821165872,-0.9834927683557056,0.17927285677809437
Gross-c13All.csv,0.005269448705293992,171.24411774244598,0.11496651423391957,-0.004550529213982718,0.11487478319058231,-0.0006134051576472954,0.007549091193067672,0.9999696105292925,0.0019465970445004077,-0.028356250088836885,-0.9884516325461961,0.14885997849542562
Gross-c4All.csv,0.009888265321245817,176.37277172443774,0.12041275624494438,-0.009740147497072783,0.1192159286915877,-0.013853654371390078,0.005314683326118247,0.999983389576832,0.0022304061452452974,-0.06517891260009659,-0.9976164143884833,-0.022653898007504
Gross-c8All.csv,0.007214275735518503,167.864887820617,0.11772278358962472,-0.009319814174942598,0.11587830098078311,-0.01854761983762865,0.0025106839438811756,0.9999925077459869,0.0029463397675260033,0.003877077165546,-0.9782822598009285,0.20724089468886261
Gross-c2All.csv,0.006230865947722906,17.04688761920283,0.11585777994898944,-0.011591346555654414,0.11518740947309603,-0.004530624527864235,-0.001976346180152664,-0.9999956417492045,-0.0021932939550446556,-0.12238914217285418,-0.9564090047096736,0.26514658886820425
Gross-c15All.csv,0.003915183834463042,169.19279979400795,0.11569054254910605,-0.0064017166891182295,0.11550704206695661,-0.001201204262853861,0.006339154502888683,0.9999788516768104,-0.001453037960906815,-0.08336436180013729,-0.9815055928651635,0.1723286231479247
Gross-c10All.csv,0.00869875411802066,177.5391547815078,0.11641850748263616,-0.00016085030588406518,0.11640215382968289,-0.001944632478014685,0.004416296153223458,0.9999901025646427,-0.0005395378042529874,-0.03208620341146399,-0.9989279786999886,0.03336718329425651
Gross-c7All.csv,0.005101055866024204,169.51947220455494,0.11910415060248836,-0.012927185806229466,0.11838808895369302,0.0017166687985507023,0.0018350198300413497,0.9999953905939347,0.0024189859669371113,-0.05745525132680416,-0.9836290505172963,0.1708004246874579
Gross-c5All.csv,0.00855300243581463,174.76547068573453,0.1189668719129758,0.0031913454360489174,0.11875811071419529,-0.006280371538462615,0.0038798848560791595,0.9999924579016868,-0.000175023559498223,-0.09127903171959714,-0.9954783531118122,0.02628662880871715
Gross-c9All.csv,0.00602173318712816,9.238208790049596,0.11874612349581443,0.0006967026963370163,0.11873470074457915,0.0014924107113541973,-0.0035911730224234997,-0.9999926387613205,-0.001351258485184187,-0.012106778839034806,-0.9872080344558808,0.15897711348461196
Gross-c12All.csv,0.005802717838054493,173.68333258107597,0.1161878198603125,0.007603228056389161,0.11577418624780655,0.006175613789184187,0.006074236775989364,0.9999806124484314,0.0013705381606001431,-0.04978557877893246,-0.9937823402803468,0.09958943865974208
Gross-c1All.csv,0.005497458344733229,172.15515525563518,0.11638555105805269,-0.0009734326112580474,0.11624825020823049,-0.005567157943023537,0.0037793544387897085,0.9999873915702736,0.0033065360281851336,-0.05354312539359726,-0.9908608183791264,0.12380618855345148
Gross-c14All.csv,0.006994275596105179,171.72915420227264,0.1154819393464453,0.008826190578908984,0.11479652424959297,-0.00894062052060507,0.00409760054125111,0.9999914202329891,0.0006075608728245818,-0.040931448822750405,-0.9895239973248207,0.13844448423674496
Gross-c3All.csv,0.007890566518007094,176.42961099337654,0.12222702078661941,0.01848665822846051,0.12034599292924231,-0.01070187197603989,0.005013112974223118,0.9999828781134628,0.003018638471851658,-0.024114912987246488,-0.9981250638229624,0.05625680349989321
Drei-c2All.csv,0.04012524828562188,2.0332090348331895,0.11524124389197196,-0.019575007521372072,0.11247510908001868,0.01570710704570044,0.007385815079466597,0.9999687873677002,0.00280606948997008,-0.024147405840324165,0.9996177571965436,-0.013462625618129736
Drei-c11All.csv,0.029290005914126768,2.555425246368159,0.11569031963764802,-0.005872653268268843,0.11541689207087225,0.005357520522824344,0.006256519330156035,0.9999719258119608,0.004123536563402552,0.016166865408666437,0.9990947180397961,-0.03934941991743837
Drei-c13All.csv,0.02873598158080928,2.9200397966086964,0.11589456262307093,-0.003809006826836308,0.11567444482372524,0.0060385368516695515,0.002396646113795434,0.9999970343682559,0.00043283033470193185,0.04487222057276255,0.9986090029250531,-0.027686514730123887
Drei-c4All.csv,0.0327009699749458,1.2301877353569233,0.11726620808811182,0.009189811308313388,0.11662760794758587,0.008056797869261945,0.005518715763790917,0.9999832156212191,0.0017641576359712417,0.004441335114245073,0.9997964969494403,-0.019678395006462773
Drei-c8All.csv,0.029664338022019728,1.6758896137539863,0.1173760166619902,-0.008045172372239503,0.11666080037485038,0.01013223296396526,0.004116151040100105,0.9999892101881714,0.0021533248365257964,0.01566586710603707,0.9995717773719002,-0.02471522788477961
Drei-c6All.csv,0.035708772284309624,177.56259979251925,0.11993221770555139,-0.004625648049541834,0.11945556166690441,0.009628551850509037,0.002999845507750604,0.9999861922111255,0.0043146626779134705,-0.0045882099797868135,-0.9992600799594336,0.03818692091080224
Drei-c15All.csv,0.024605984055402912,2.463132432554833,0.12007857388167503,0.004237936408657723,0.11718871369024342,0.025840069351285022,0.008273326738381584,0.9999571375463967,0.004156336691901611,0.012478538638241738,0.999176174685785,-0.038616809989120926
Drei-c10All.csv,0.029629839129976517,2.272632450082858,0.11975745565594921,-0.018127031496572632,0.11833235213131865,0.00327312593379947,0.0034660069844535436,0.9999854806160524,0.004126178942606983,-0.0032640944324526452,0.9993835101348659,-0.034956335020289206
