file,radius_object,radius_device,angle,centre_diff,centre_diff_x,centre_diff_y,centre_diff_z,x_normal_device,y_normal_device,z_normal_device,x_normal_object,y_normal_object,z_normal_object
Drei-k3All.csv,0.05205672787460865,0.6919906060707255,178.99161652168465,0.1195920234558308,0.023537284867473418,0.11494725888462298,-0.02313819289051877,-0.00040132800531682755,-0.999999815735503,-0.000455483030799379,0.012370209352722568,0.9998342665296932,0.013357297391291848
Drei-k15All.csv,0.04651707698504069,0.6756965198157732,178.58788706964222,0.12368649233552623,0.025560328992307868,0.12033524575473664,-0.012823673312210904,0.007645451919280768,-0.9999682361355033,-0.002252506381672079,-0.017899379457243222,0.999535657210411,0.024659322375054717
Drei-k7All.csv,0.06224571163955725,0.7001953243445048,0.35421604303842524,0.11536674539481179,0.009855977179557773,0.11477593008321652,-0.006231495034095591,0.0028418463395253465,-0.9999908629502279,-0.003193419083213406,0.008259004817685038,-0.9999468457642232,-0.006172073039303291
Drei-k9All.csv,0.056591282844412186,0.6868030002673221,177.4957052382522,0.11575776889613121,-0.010118366022960457,0.11531368954908494,0.00048242244224394604,0.003379288779205935,-0.99998742778896,-0.0037046823569748715,-0.04677631409514555,0.9989044665363842,-0.001357635198912242
Drei-k5All.csv,0.05639954509847131,0.7003947528153166,179.5421806142453,0.11175957724673809,0.006739947533878854,0.11116675700686685,-0.009312805709688066,-0.006530627974380974,0.9999649443116645,0.0052403288093075505,-0.0011318702104222195,-0.9999949344703923,-0.0029748787171894665
3-M12All.csv,0.019446124921243944,0.6182400594302478,2.4741375837156765,0.09426257407329526,-0.012990825782393661,0.09276083816791036,0.010587644629553639,0.0024525067723424436,0.9999836796301075,0.005160008135777317,-0.023183321695960477,0.9992935963195071,-0.02957772726169918
3-M2All.csv,0.04507711410747165,0.6235141770958091,2.3550660345519745,0.1003404409552521,0.013690456112458449,0.0976718360223765,0.0184658590524589,0.004862263941119086,0.9999874720960229,0.0011891342956785586,-0.03619912814819625,0.9993404834108744,0.002867287468880657
3-M10All.csv,0.048575217183953835,0.6250619181145364,2.926755338196598,0.1026723437276969,-0.000624522388357307,0.09934935345187745,0.02590224135125585,0.00834000424703998,0.9999504504613609,0.00543515880915907,-0.03670732994363816,0.9991524955456164,-0.018624246921047447
3-M6All.csv,0.03408907756736953,0.6168705974721501,3.2515045301209358,0.09382225641940435,0.0035046940131849558,0.09368935940411394,-0.00355483529142675,0.007112566331744583,0.9999679111759943,0.0036861929542488796,-0.04937659140187428,0.9987790617830239,-0.0015290406647984634
3-M14All.csv,0.029713125284383538,0.613044660284854,179.40497275290244,0.10380554548210506,-0.04328708655284308,0.09348984806721017,0.012706994883685763,0.0033592446309840067,0.9999941770227818,0.0006011622395084034,0.0007692952513769264,-0.9999598486302222,0.008928007181879881
