device,time,x,y,z
device,793.1094554166668,0.20668733,1.5446209,-1.7800083
Gesamt_3Arm,793.1102668750002,0.5599952,1.4459867,-1.2812233
device,793.1145017083335,0.20666772,1.5446182,-1.7799697
device,793.1268673750002,0.20661938,1.5446081,-1.7798725
device,793.1348814166669,0.2065874,1.5445993,-1.7798105
Gesamt_3Arm,793.1367069166669,0.5598784,1.4459753,-1.2812936
device,793.1447954166669,0.20654747,1.5445892,-1.7797309
device,793.1565597500002,0.20650014,1.5445812,-1.7796348
device,793.1649297500002,0.2064676,1.5445766,-1.7795664
Gesamt_3Arm,793.1661637916668,0.56072164,1.4456701,-1.2808458
device,793.1764869166668,0.20642483,1.5445724,-1.7794728
device,793.1847070000002,0.20639767,1.5445719,-1.7794034
device,793.1960560000002,0.20636164,1.5445751,-1.7793096
Gesamt_3Arm,793.2014620833335,0.5607195,1.4456601,-1.2808642
device,793.2046929166669,0.2063323,1.544578,-1.7792349
device,793.2156327083335,0.20629202,1.544596,-1.7791468
device,793.2265213750002,0.20624694,1.5446101,-1.7790527
Gesamt_3Arm,793.2271105000002,0.5607177,1.4456505,-1.2808816
device,793.2352307916668,0.20621002,1.5446197,-1.778975
device,793.2454100833335,0.20616557,1.5446275,-1.7788802
device,793.2553423750002,0.20611921,1.5446328,-1.7787844
Gesamt_3Arm,793.2568175000001,0.56071514,1.4456413,-1.2808998
device,793.2655580416668,0.2060745,1.544642,-1.7786839
device,793.2760669583336,0.20602965,1.5446553,-1.7785742
device,793.2857310000002,0.20599239,1.5446749,-1.7784725
Gesamt_3Arm,793.2862630000002,0.57198036,1.4448816,-1.2649853
device,793.2946575416669,0.20596348,1.544706,-1.7783922
device,793.3052599583335,0.2059296,1.5447513,-1.7782899
device,793.3149928750001,0.20589784,1.5447966,-1.7781901
device,793.3166875416669,0.20589235,1.5448054,-1.778172
Gesamt_3Arm,793.3171110416669,0.57198274,1.4448731,-1.2649956
device,793.3257725833336,0.20586002,1.5448532,-1.778069
device,793.3353333750001,0.2058233,1.5449044,-1.7779568
device,793.3452521666668,0.20578024,1.5449598,-1.7778314
Gesamt_3Arm,793.3465342916668,0.57198274,1.4448652,-1.2650084
device,793.3556823333336,0.20573042,1.5450203,-1.7776958
device,793.3659860416668,0.20567366,1.5450879,-1.7775471
device,793.3756771250002,0.20561436,1.5451512,-1.777403
Gesamt_3Arm,793.3820375000001,0.57198995,1.4448541,-1.2649516
device,793.3867063333336,0.2055468,1.5452205,-1.7772378
device,793.3952100000001,0.20548868,1.5452785,-1.7771032
device,793.4046072500001,0.20541954,1.5453482,-1.7769493
Gesamt_3Arm,793.4060676250002,0.559416,1.4458659,-1.281731
device,793.4150266250002,0.20533438,1.545432,-1.7767673
device,793.4255835416668,0.20524195,1.545521,-1.7765713
device,793.4364973750002,0.20514041,1.5456196,-1.7763551
Gesamt_3Arm,793.4370557500001,0.5594177,1.4458559,-1.2816861
device,793.4456323333335,0.20504719,1.545711,-1.776156
device,793.4548831666668,0.20494269,1.5458124,-1.775934
device,793.4676413333335,0.20477778,1.5459752,-1.7755866
Gesamt_3Arm,793.4681792500002,0.5594213,1.4458462,-1.2816405
device,793.4757391666668,0.20465794,1.5460876,-1.7753398
device,793.4857020416669,0.20448378,1.5462319,-1.7750121
device,793.4949317500002,0.20429702,1.5463758,-1.7746685
Gesamt_3Arm,793.4962521250002,0.555657,1.445992,-1.2871101
device,793.5053321250002,0.20405398,1.5465523,-1.7742279
device,793.5159796666668,0.20375948,1.5467494,-1.7737085
device,793.5266363750002,0.20342574,1.5469577,-1.773132
Gesamt_3Arm,793.5272232500001,0.55489147,1.4461867,-1.2875401
device,793.5380499166669,0.20303525,1.5471883,-1.7724717
device,793.5452331250002,0.2027713,1.5473404,-1.7720281
device,793.5556933750001,0.20235458,1.5475631,-1.7713819
Gesamt_3Arm,793.5621005416668,0.55647445,1.4457792,-1.2869333
device,793.5667976666668,0.20189172,1.5477943,-1.7706761
