device,time,x,y,z
device,2844.209199125001,-0.06121105,1.4918103,-0.12400806
device,2844.210521041667,-0.06121248,1.4918103,-0.124026895
device,2844.2196639166673,-0.06122321,1.4918103,-0.12415099
Gesamt_3Arm,2844.2226468750005,0.017394245,1.4385355,-0.8100127
device,2844.230257916667,-0.061238516,1.4918126,-0.12429734
device,2844.2401824166673,-0.0612517,1.4918149,-0.12443626
device,2844.2511363750004,-0.06126555,1.49182,-0.12459048
Gesamt_3Arm,2844.2515782083337,0.017404675,1.438544,-0.8100091
device,2844.260674458334,-0.061276376,1.4918255,-0.124726415
device,2844.2705640833337,-0.06128335,1.4918289,-0.12486267
device,2844.2811828750005,-0.061288882,1.4918333,-0.12501486
Gesamt_3Arm,2844.281685583334,0.017414808,1.4385523,-0.8100034
device,2844.2900700000005,-0.06128931,1.4918349,-0.12513912
device,2844.2999532500007,-0.061288178,1.491833,-0.12527418
device,2844.3101983750007,-0.061286427,1.4918282,-0.12541656
Gesamt_3Arm,2844.3107942500005,0.017424524,1.4385601,-0.80999815
device,2844.320262625001,-0.061283372,1.4918209,-0.12555261
device,2844.3298795000005,-0.06128025,1.4918106,-0.12567866
device,2844.340444458334,-0.061275087,1.4917977,-0.12581582
Gesamt_3Arm,2844.347064166667,0.017423928,1.4385606,-0.80998766
device,2844.350363041667,-0.061270475,1.4917872,-0.12593472
device,2844.3601812916672,-0.061263204,1.4917772,-0.12605655
device,2844.3695357500005,-0.06125605,1.4917706,-0.12616861
Gesamt_3Arm,2844.3708476666675,0.01742363,1.4385612,-0.8099786
device,2844.3798782916674,-0.06124698,1.491764,-0.12628777
device,2844.389955875001,-0.061241448,1.4917531,-0.12638688
device,2844.400105958334,-0.06123518,1.4917427,-0.12648161
Gesamt_3Arm,2844.4009487916674,0.017422974,1.4385617,-0.8099688
device,2844.409445708334,-0.061228514,1.4917338,-0.1265645
device,2844.419380416667,-0.061221242,1.4917264,-0.12664723
device,2844.4293518750005,-0.0612136,1.4917195,-0.1267242
Gesamt_3Arm,2844.4306677916675,0.017422795,1.438562,-0.80995905
device,2844.439266666667,-0.061204195,1.4917121,-0.1267972
device,2844.4492985000006,-0.06119317,1.4917043,-0.12686443
device,2844.4598321250005,-0.061178863,1.4916993,-0.12693012
Gesamt_3Arm,2844.460898791667,0.017422616,1.4385626,-0.8099519
device,2844.469777250001,-0.06116406,1.491698,-0.12698655
device,2844.4797255000008,-0.061146308,1.4917023,-0.12703915
device,2844.4903712500004,-0.061125398,1.4917116,-0.1270901
Gesamt_3Arm,2844.4910415833338,0.01742196,1.4385629,-0.80994046
device,2844.500564583334,-0.061103463,1.4917295,-0.12713599
device,2844.510099708334,-0.06107967,1.4917527,-0.12717696
device,2844.521213041667,-0.061048795,1.4917904,-0.12722154
device,2844.5304384166675,-0.061019946,1.4918299,-0.12725706
Gesamt_3Arm,2844.5310573750007,0.017438948,1.4385805,-0.8099803
device,2844.540361958334,-0.06098628,1.491879,-0.12729394
device,2844.5505955416675,-0.060949326,1.4919372,-0.12733209
Gesamt_3Arm,2844.5512567500004,0.017455578,1.4385979,-0.8100194
device,2844.5605875416672,-0.060908664,1.4919976,-0.12736912
device,2844.570347541667,-0.060866106,1.4920647,-0.12740548
device,2844.5805472500006,-0.060818005,1.492144,-0.12744434
Gesamt_3Arm,2844.5821120000005,0.017472029,1.4386151,-0.8100561
device,2844.5905370000005,-0.060765587,1.4922284,-0.12748308
device,2844.6005863750006,-0.060709406,1.4923171,-0.12752338
device,2844.610759791667,-0.0606516,1.4924101,-0.1275624
Gesamt_3Arm,2844.6114577500007,0.01748848,1.4386322,-0.8100952
device,2844.6206600000005,-0.060592473,1.4925032,-0.12760043
device,2844.630586333334,-0.06053113,1.4926013,-0.12763937
device,2844.6406971250008,-0.06047027,1.4927068,-0.1276793
Gesamt_3Arm,2844.641421333334,0.017504811,1.4386492,-0.81013095
device,2844.6508505000006,-0.06040751,1.4928191,-0.12772174
device,2844.6603315000007,-0.060346473,1.4929253,-0.12775452
device,2844.670241833334,-0.06028551,1.4930459,-0.12779129
Gesamt_3Arm,2844.6712805416673,0.017520905,1.4386659,-0.81016743
device,2844.679443291667,-0.060223937,1.4931766,-0.12783325
device,2844.689576833334,-0.06015718,1.4933323,-0.1278845
device,2844.698562458334,-0.060096383,1.4934874,-0.12793839
device,2844.7093317500007,-0.060021687,1.4936893,-0.12801297
Gesamt_3Arm,2844.7111362083338,0.01752317,1.4386783,-0.81016433
device,2844.718602958334,-0.059954345,1.4938813,-0.12808836
device,2844.7288557500005,-0.059876323,1.4941123,-0.12818491
Gesamt_3Arm,2844.7311195000007,0.017525315,1.4386905,-0.81016004
device,2844.738894583334,-0.059795488,1.494354,-0.12829454
device,2844.7487416666672,-0.059714317,1.4946054,-0.12841439
device,2844.7588250416675,-0.05962926,1.4948767,-0.12855089
Gesamt_3Arm,2844.761268708334,0.017527401,1.4387023,-0.81015384
device,2844.768464208334,-0.0595479,1.4951515,-0.12869442
device,2844.778958333334,-0.05946082,1.4954593,-0.1288631
device,2844.788733291667,-0.059379995,1.495765,-0.12903559
Gesamt_3Arm,2844.7913788750006,0.017529309,1.438714,-0.8101505
device,2844.7987940416674,-0.059300542,1.4960897,-0.12922299
device,2844.808742333334,-0.05922401,1.496433,-0.12942219
device,2844.8186335000005,-0.059146106,1.496786,-0.12962282
Gesamt_3Arm,2844.8209336250006,0.017531276,1.4387254,-0.8101474
device,2844.828633208334,-0.05906687,1.4971627,-0.12984769
