device,time,x,y,z
device,1306.4142739583335,-0.028411083,1.7187076,-0.0766651
device,1306.4184267500002,-0.028399765,1.7186979,-0.07667476
device,1306.4296374583337,-0.028373122,1.7186762,-0.07669753
Gesamt_3Arm,1306.4298196250004,-0.03560549,1.5601549,-0.7400729
device,1306.440146416667,-0.028350115,1.718662,-0.07671648
device,1306.4488037083336,-0.028330922,1.7186546,-0.0767284
Gesamt_3Arm,1306.4504553333336,-0.035616934,1.5602036,-0.7400723
device,1306.4597977500002,-0.028306365,1.7186488,-0.0767377
device,1306.4698488333336,-0.028282166,1.71865,-0.07674497
device,1306.480219291667,-0.028256092,1.718655,-0.07675052
Gesamt_3Arm,1306.4871538750003,-0.035621047,1.5601993,-0.740084
device,1306.4896940833337,-0.028230488,1.7186627,-0.07675511
device,1306.499637041667,-0.028202057,1.7186701,-0.0767594
device,1306.509308291667,-0.028171241,1.7186786,-0.07676417
Gesamt_3Arm,1306.5104754166668,-0.03562522,1.560195,-0.7400958
device,1306.521121166667,-0.028128088,1.718688,-0.07677156
device,1306.529507166667,-0.028093908,1.7186918,-0.07677674
device,1306.5395272500002,-0.028047595,1.718695,-0.07678437
Gesamt_3Arm,1306.540616041667,-0.035629332,1.5601907,-0.74010664
device,1306.5495601666669,-0.027997255,1.7186968,-0.076791465
device,1306.5600238333336,-0.027939737,1.7186979,-0.07680124
device,1306.5705844583335,-0.027879477,1.718699,-0.07681149
device,1306.5794507916669,-0.027825117,1.7186974,-0.076821625
Gesamt_3Arm,1306.5801817083336,-0.035626173,1.5601885,-0.74012095
device,1306.5896783333337,-0.027762592,1.7186947,-0.07683438
device,1306.5997145833337,-0.027700126,1.7186887,-0.07684833
Gesamt_3Arm,1306.6010025833336,-0.035630107,1.5601841,-0.74013394
device,1306.6091928750002,-0.027641475,1.7186819,-0.07686275
device,1306.6196848333336,-0.027579606,1.7186732,-0.076880395
device,1306.6297105833337,-0.027522385,1.7186644,-0.0769009
Gesamt_3Arm,1306.6306602500003,-0.03563416,1.5601801,-0.7401449
device,1306.6392372083337,-0.027472734,1.7186549,-0.0769214
device,1306.649173291667,-0.027424965,1.7186462,-0.0769465
device,1306.660052916667,-0.027374446,1.7186368,-0.0769791
device,1306.6691828333337,-0.027334988,1.7186301,-0.07700926
Gesamt_3Arm,1306.6695778750002,-0.03563696,1.5601845,-0.7401158
device,1306.679126291667,-0.027291656,1.7186184,-0.07704347
device,1306.6891122500003,-0.027246986,1.7185993,-0.07707703
Gesamt_3Arm,1306.6901420833335,-0.0356704,1.5602082,-0.7400839
device,1306.699034416667,-0.02720046,1.7185742,-0.07711023
device,1306.7092174583336,-0.027152002,1.7185426,-0.07713324
device,1306.720182791667,-0.0270941,1.718502,-0.07715511
Gesamt_3Arm,1306.721189541667,-0.03567326,1.5602126,-0.7400554
device,1306.7294412083336,-0.027045343,1.718469,-0.07717109
device,1306.7394988333335,-0.026990175,1.7184334,-0.07718629
device,1306.7497985000002,-0.026931822,1.7183998,-0.07720059
Gesamt_3Arm,1306.7503040833337,-0.03567642,1.5602169,-0.7400271
device,1306.7596671250003,-0.026875794,1.7183685,-0.07721311
device,1306.7694197500002,-0.02682221,1.7183391,-0.07722527
device,1306.779687791667,-0.026769213,1.7183077,-0.077236354
Gesamt_3Arm,1306.7804441250003,-0.03567934,1.5602214,-0.7399973
device,1306.7894915416668,-0.026723258,1.7182776,-0.07724184
device,1306.799451916667,-0.026680112,1.7182474,-0.0772441
device,1306.8098003750003,-0.02663964,1.7182174,-0.07724494
Gesamt_3Arm,1306.8106455833336,-0.035688818,1.5603074,-0.739976
device,1306.819877416667,-0.026604686,1.718188,-0.07724249
device,1306.8297061250003,-0.026576161,1.7181628,-0.07723731
device,1306.8400126250003,-0.026551578,1.7181396,-0.07723081
Gesamt_3Arm,1306.846076041667,-0.03569776,1.5603043,-0.7399941
device,1306.849616791667,-0.026534207,1.7181232,-0.077225864
device,1306.859360916667,-0.02652273,1.718112,-0.07722247
device,1306.8697848333336,-0.026519809,1.7181056,-0.07722163
Gesamt_3Arm,1306.8702809583335,-0.035706937,1.5603011,-0.74001414
device,1306.879594041667,-0.02652353,1.7181005,-0.07722503
device,1306.8891454583336,-0.026531875,1.7180955,-0.0772354
device,1306.8984343750003,-0.02654504,1.7180874,-0.07724911
Gesamt_3Arm,1306.9006582500003,-0.035715997,1.560298,-0.7400324
device,1306.9080330833335,-0.02656275,1.718075,-0.07726985
device,1306.9179727083335,-0.026583605,1.7180568,-0.0772987
device,1306.928232541667,-0.026606202,1.718032,-0.07733613
Gesamt_3Arm,1306.9305457083335,-0.03573048,1.5603671,-0.74006516
device,1306.938199541667,-0.02662829,1.7180036,-0.0773803
device,1306.9486111250003,-0.026649985,1.717971,-0.07743287
device,1306.958930291667,-0.026667655,1.7179329,-0.07748979
Gesamt_3Arm,1306.9605390000004,-0.03573948,1.560364,-0.74008447
device,1306.968485416667,-0.026679728,1.7178936,-0.07754612
device,1306.978484791667,-0.026687019,1.7178484,-0.07760781
device,1306.988644166667,-0.026690602,1.7178048,-0.07767671
Gesamt_3Arm,1306.991051416667,-0.035748422,1.5603609,-0.74010247
device,1306.9985695833336,-0.026688695,1.7177601,-0.077745736
device,1307.0082032083337,-0.02668086,1.7177163,-0.077815294
device,1307.0186952083336,-0.026664112,1.7176695,-0.07789242
device,1307.0284950000002,-0.026643515,1.7176263,-0.07796389
device,1307.0386137916669,-0.026613407,1.7175815,-0.078038275
Gesamt_3Arm,1307.0393275000004,-0.035751283,1.5603613,-0.74010235
device,1307.048261666667,-0.026577268,1.7175372,-0.078106046
Gesamt_3Arm,1307.0505134583336,-0.03562051,1.5604696,-0.7401417
device,1307.0580635833337,-0.026533484,1.7174939,-0.07816976
device,1307.068175416667,-0.02647892,1.7174513,-0.078231096
device,1307.0781327500003,-0.02641499,1.7174127,-0.07828826
Gesamt_3Arm,1307.0806877500004,-0.035623252,1.5604701,-0.7401419
device,1307.0883805833337,-0.02634132,1.7173766,-0.07834047
device,1307.098422041667,-0.02625817,1.7173464,-0.0783872
device,1307.1082185833336,-0.026166022,1.7173216,-0.078425825
Gesamt_3Arm,1307.110469791667,-0.035625994,1.5604705,-0.740141
device,1307.1184177500004,-0.026063435,1.7173028,-0.07845491
device,1307.128578041667,-0.025948875,1.71729,-0.07847601
device,1307.1385427500004,-0.025824614,1.7172837,-0.07848841
Gesamt_3Arm,1307.140534041667,-0.035628736,1.5604708,-0.74014145
device,1307.1483217500004,-0.025692403,1.7172872,-0.07849258
device,1307.1585385000003,-0.025544047,1.7173002,-0.07849151
device,1307.1683250000003,-0.025394592,1.7173223,-0.07848573
Gesamt_3Arm,1307.1708061250004,-0.035570562,1.5606253,-0.74017435
device,1307.1785267500002,-0.025227964,1.7173545,-0.07847506
device,1307.187879541667,-0.025064342,1.7173864,-0.07846099
device,1307.1982184583337,-0.024874985,1.717421,-0.07844168
Gesamt_3Arm,1307.2060767500002,-0.035574615,1.5606277,-0.74017876
device,1307.2083205833337,-0.02468115,1.7174534,-0.078416765
device,1307.217996666667,-0.024481297,1.7174826,-0.07838839
device,1307.228145916667,-0.024263714,1.7175137,-0.0783546
Gesamt_3Arm,1307.230176166667,-0.035578847,1.5606302,-0.7401807
device,1307.2379725000003,-0.024039507,1.7175457,-0.078318775
device,1307.248127666667,-0.023800008,1.7175825,-0.078271806
device,1307.258439541667,-0.023540914,1.7176251,-0.078219235
Gesamt_3Arm,1307.2616178750002,-0.03558296,1.5606327,-0.74018306
device,1307.2683976250003,-0.0232808,1.7176722,-0.07816476
device,1307.2783974166668,-0.023007154,1.717725,-0.078106344
device,1307.288188916667,-0.022726417,1.7177819,-0.07804495
Gesamt_3Arm,1307.290927291667,-0.03557551,1.5606257,-0.7402299
device,1307.298222791667,-0.022432301,1.7178439,-0.077980995
